signal,ticker,horizon,ret_type,n,ic,ci_lo,ci_hi,p,bh_reject,total_pnl,mean_per_trade,hit_rate,std_pnl
ofi_x_llm,META,15,raw,415,-0.006125965817554313,-0.10809026565162937,0.08844055117004955,0.573,False,-0.021423228373557795,-5.1622237044717576e-05,0.5080385852090032,0.002318514128922643
ofi_x_llm,NVDA,1,raw,918,0.03537786216369502,-0.03468634048115485,0.10382655464079964,0.165,False,0.010075412715677651,1.0975395115117268e-05,0.5253399258343634,0.0008112885292928146
ofi_x_llm,NVDA,5,raw,910,0.03135031452496943,-0.037836414321682554,0.09765560552093738,0.172,False,0.05484116946103659,6.0265021385754495e-05,0.499383477188656,0.001971137399068319
ofi_x_llm,NVDA,15,raw,883,0.009779606796734225,-0.06502435770083233,0.07820804968909796,0.406,False,0.021548443062229902,2.4403672777157308e-05,0.5094816687737042,0.003333529685564765
ofi_x_llm,PEP,1,raw,44,0.012123348085379577,-0.303833952526663,0.35114411700895853,0.468,False,0.0023137271577074836,5.2584708129715534e-05,0.5,0.0009316508168519468
ofi_x_llm,PEP,5,raw,43,0.12009516984280914,-0.20882680261647407,0.4283827045200334,0.242,False,0.019104656829571673,0.00044429434487375984,0.6052631578947368,0.0018391506516385883
ofi_x_llm,PEP,15,raw,41,0.17757253705114726,-0.1975041526973988,0.49692692478892864,0.161,False,0.05782216119953408,0.0014102966146227825,0.5555555555555556,0.004489528160471215
ofi_x_llm,SOFI,1,raw,92,0.08285666166006748,-0.12729874608669248,0.2998361717249727,0.213,False,0.004263049552330105,4.633749513402288e-05,0.4875,0.0015145890570192704
ofi_x_llm,SOFI,5,raw,91,0.007360497446181745,-0.22384510879762362,0.24742338857199614,0.471,False,0.012985529532266204,0.00014269812672820006,0.5375,0.0037184985668238
ofi_x_llm,SOFI,15,raw,89,-0.18170594756921732,-0.4252929077107125,0.04336139958780969,0.939,False,-0.04637928667931681,-0.000521115580666481,0.4567901234567901,0.005062772822594424
ofi_x_llm,TSLA,1,raw,494,0.00959308178352079,-0.08240914700419422,0.10653403582265727,0.396,False,-0.03237068163999578,-6.552769562752181e-05,0.4818181818181818,0.0012389276193818096
ofi_x_llm,TSLA,5,raw,487,0.08077197526575598,-0.013495999244083052,0.17559581569604849,0.051,False,0.045812812175438,9.407148290644353e-05,0.5230414746543779,0.002497311340085936
ofi_x_llm,TSLA,15,raw,470,0.058670128030964275,-0.028968547336071848,0.145425907100648,0.108,False,0.061516093604745685,0.0001308853055420121,0.491725768321513,0.004531256494318516
