ticker,date,file,spread_bps,n_rows,ic_1m,ic_5m,ic_15m
A,2019-12-09,A_2019-12-09_34200000_57600000_60_1,3.49,390,0.07693967926433619,0.02761563022665884,0.043852287633147684
A,2019-12-10,A_2019-12-10_34200000_57600000_60_1,3.91,390,-0.09671573128284075,-0.03252407876538835,-0.058404049379429626
A,2019-12-11,A_2019-12-11_34200000_57600000_60_1,3.92,390,0.042859441938583376,0.07208814296876882,0.033901821768892074
A,2019-12-12,A_2019-12-12_34200000_57600000_60_1,4.84,390,-0.02591904165498112,-0.0052856706324314155,0.0014605901247839491
A,2019-12-13,A_2019-12-13_34200000_57600000_60_1,3.89,390,0.041081839571622945,-0.028543803913730126,-0.07795771660161076
A,2019-12-16,A_2019-12-16_34200000_57600000_60_1,3.05,390,0.08036067810018717,0.12031045905780749,0.017080523857183134
A,2019-12-17,A_2019-12-17_34200000_57600000_60_1,3.19,390,0.06645243905605647,0.006355599839611387,-0.013579328720055486
A,2019-12-18,A_2019-12-18_34200000_57600000_60_1,3.41,390,0.08446769640253524,-0.020421061165243705,-0.04479440652341453
A,2019-12-19,A_2019-12-19_34200000_57600000_60_1,3.28,390,0.02653233521184985,0.017275026489080737,-0.022056706817809173
A,2019-12-20,A_2019-12-20_34200000_57600000_60_1,3.71,390,0.013744963378844977,-0.026676769560146096,-0.023885587427425924
A,2019-12-23,A_2019-12-23_34200000_57600000_60_1,4.09,390,0.06099909168648699,0.02201779538912043,0.038831321443497845
A,2019-12-24,A_2019-12-24_34200000_57600000_60_1,-7183.72,330,0.13245371097799477,-0.04596588762310809,-0.1440161398843386
A,2019-12-26,A_2019-12-26_34200000_57600000_60_1,3.31,390,-0.010706625243305847,-0.06698192085910537,-0.008669445352250815
A,2019-12-27,A_2019-12-27_34200000_57600000_60_1,3.58,390,0.0443122490981617,0.006643745879052028,-0.07598901309756266
A,2019-12-30,A_2019-12-30_34200000_57600000_60_1,4.5,390,0.0206194138858019,0.06640839935695717,0.010317140376759765
A,2019-12-31,A_2019-12-31_34200000_57600000_60_1,2.99,390,-0.037507976033195056,-0.07036704682329074,-0.13454998455905556
A,2020-01-02,A_2020-01-02_34200000_57600000_60_1,3.02,390,-0.022148609496122438,-0.11553194710612653,-0.07344717190243011
A,2020-01-03,A_2020-01-03_34200000_57600000_60_1,3.83,390,0.03877961162700382,-0.07658335552105917,-0.08398726600293498
A,2020-01-06,A_2020-01-06_34200000_57600000_60_1,2.9,390,-0.013972964770564346,-0.06445304418944485,-0.06869199605713477
A,2020-01-07,A_2020-01-07_34200000_57600000_60_1,2.88,390,0.04973702022029515,0.012656651289112355,0.03689698474249103
A,2020-01-08,A_2020-01-08_34200000_57600000_60_1,3.37,390,0.0979611220583536,0.01944794320739304,0.0763713212027356
A,2020-01-09,A_2020-01-09_34200000_57600000_60_1,3.91,390,0.008736274813366083,-0.056311227634217774,-0.06587382503688624
A,2020-01-10,A_2020-01-10_34200000_57600000_60_1,4.28,390,-0.015475770003179382,-0.04403491341595449,-0.03987637134787371
A,2020-01-13,A_2020-01-13_34200000_57600000_60_1,4.16,390,-0.0891644196902792,-0.05052256213673465,-0.0803569709380596
A,2020-01-14,A_2020-01-14_34200000_57600000_60_1,4.6,390,0.002321196745746388,-0.10159494105804426,-0.07028545354766982
A,2020-01-15,A_2020-01-15_34200000_57600000_60_1,3.43,390,-0.02139194019732703,-0.027982342591150233,-0.03459210002768422
A,2020-01-16,A_2020-01-16_34200000_57600000_60_1,3.34,390,-0.01049871813886326,-0.03453311291650382,-0.07371447644438557
A,2020-01-17,A_2020-01-17_34200000_57600000_60_1,2.7,390,0.011164689416017977,0.07831403104394948,0.06896340837979806
A,2020-01-21,A_2020-01-21_34200000_57600000_60_1,2.8,390,-0.08662372920309494,-0.137543808743277,-0.07682443800186282
A,2020-01-22,A_2020-01-22_34200000_57600000_60_1,3.03,390,0.053592503442629655,-0.05908868644237853,-0.020430016743987613
A,2020-01-23,A_2020-01-23_34200000_57600000_60_1,5.62,390,-0.03340126355768587,-0.0071620718221485444,0.07480083479655632
A,2020-01-24,A_2020-01-24_34200000_57600000_60_1,4.8,390,-0.015029684177222898,-0.04425832883006221,-0.010883399274707823
A,2020-01-27,A_2020-01-27_34200000_57600000_60_1,6.1,390,-0.11113358468948654,-0.04361728278279931,-0.05394221902188794
A,2020-01-28,A_2020-01-28_34200000_57600000_60_1,4.47,390,0.009883322422058992,-0.14825756544167035,-0.11472278649045892
A,2020-01-29,A_2020-01-29_34200000_57600000_60_1,4.46,390,-0.004722832918790144,-0.015865805469997607,0.06683141677920078
A,2020-01-30,A_2020-01-30_34200000_57600000_60_1,4.75,390,-0.005879436867606544,-3.5755504740313814e-05,-0.04055193486271622
A,2020-01-31,A_2020-01-31_34200000_57600000_60_1,5.46,390,-0.010636138618061328,-0.06994550494665702,-0.02217170384596857
A,2020-02-03,A_2020-02-03_34200000_57600000_60_1,4.57,390,-0.057384121361709374,-0.00037020391489906866,-0.017655045864427656
A,2020-02-04,A_2020-02-04_34200000_57600000_60_1,4.38,390,0.046384652751221035,-0.086494034668584,-0.037762848496728486
A,2020-02-05,A_2020-02-05_34200000_57600000_60_1,4.96,390,-0.0012422153841597087,-0.03509819692742558,-0.05391796107408813
A,2020-02-06,A_2020-02-06_34200000_57600000_60_1,5.07,390,0.08029382056480901,0.05157290433493831,0.031171304106190845
A,2020-02-07,A_2020-02-07_34200000_57600000_60_1,4.7,390,0.014340467893629052,-0.02531104776599891,0.022345976216502573
A,2020-02-10,A_2020-02-10_34200000_57600000_60_1,4.64,390,0.06303542097601189,0.07233503765656082,0.08625965069470082
A,2020-02-11,A_2020-02-11_34200000_57600000_60_1,5.48,390,-0.07646081490280532,0.001765170266334375,0.04284386727622641
A,2020-02-12,A_2020-02-12_34200000_57600000_60_1,5.53,390,-0.06511040116346152,-0.05964625642945326,-0.07948700900976823
A,2020-02-13,A_2020-02-13_34200000_57600000_60_1,4.57,390,-0.020225858901546257,0.030826095000237252,-0.0423811498905953
A,2020-02-14,A_2020-02-14_34200000_57600000_60_1,4.06,390,-0.045796328629806655,-0.0855833356457941,-0.024695706459480687
A,2020-02-18,A_2020-02-18_34200000_57600000_60_1,4.8,390,-0.011061095948589991,-0.10545689295401654,-0.011137716909894216
A,2020-02-19,A_2020-02-19_34200000_57600000_60_1,5.61,390,-0.07605578658928298,-0.04938248387003111,0.012458142542884026
A,2020-02-20,A_2020-02-20_34200000_57600000_60_1,5.33,390,-0.0393468668701162,-0.015229153084895147,0.036729645854975054
A,2020-02-21,A_2020-02-21_34200000_57600000_60_1,5.27,390,0.020823889232228453,-0.07278749189254281,-0.11321401219840056
A,2020-02-24,A_2020-02-24_34200000_57600000_60_1,6.53,390,0.1208582905552154,-0.022716569218064007,0.06495388856968068
A,2020-02-25,A_2020-02-25_34200000_57600000_60_1,6.53,390,0.009612196401648674,0.007499307229052477,-0.08915573738099129
A,2020-02-26,A_2020-02-26_34200000_57600000_60_1,6.09,390,-0.0095670718397464,-0.013033924202830043,-0.02295162459200462
A,2020-02-27,A_2020-02-27_34200000_57600000_60_1,10.45,390,0.06690454755798551,-0.03870671069053773,0.051219443198919024
A,2020-02-28,A_2020-02-28_34200000_57600000_60_1,12.89,390,0.08970533343869297,0.03815228001921582,-0.03297336063422439
A,2020-03-02,A_2020-03-02_34200000_57600000_60_1,9.83,390,-0.040139971312563937,0.010739059058564088,-0.02332421138334925
A,2020-03-03,A_2020-03-03_34200000_57600000_60_1,10.9,390,0.04869875861884643,0.02580451456063614,-0.051671364900153845
A,2020-03-04,A_2020-03-04_34200000_57600000_60_1,11.0,390,-0.01438693377015366,-0.007414417813443041,-0.03859066612275921
A,2020-03-05,A_2020-03-05_34200000_57600000_60_1,9.2,390,0.11791614064488716,0.03214186867103383,0.02829877891638013
A,2020-03-06,A_2020-03-06_34200000_57600000_60_1,10.39,390,0.04774397565732449,-0.06720098194645525,-0.007133054592898785
A,2020-03-09,A_2020-03-09_34200000_57600000_60_1,19.33,390,-0.03430045120619048,-0.07248792326253119,-0.03423166751417546
A,2020-03-10,A_2020-03-10_34200000_57600000_60_1,14.49,390,0.04782893354048374,0.0808419441610896,0.06501264987798508
A,2020-03-11,A_2020-03-11_34200000_57600000_60_1,12.7,390,0.001090316834047207,-0.03408046817933322,-0.03436606534669784
A,2020-03-12,A_2020-03-12_34200000_57600000_60_1,38.64,390,-0.05845611863770234,-0.019282710482217733,-0.08773280856944961
A,2020-03-13,A_2020-03-13_34200000_57600000_60_1,25.56,390,0.007449765087443869,0.016018357179382298,0.0094103773563817
A,2020-03-16,A_2020-03-16_34200000_57600000_60_1,49.24,390,-0.1440793669614402,-0.19181524670613717,-0.16246480945450614
A,2020-03-17,A_2020-03-17_34200000_57600000_60_1,25.48,390,-0.017249109104303814,-0.06540319913084641,-0.030670419161185174
A,2020-03-18,A_2020-03-18_34200000_57600000_60_1,41.41,390,0.0003797825991457798,0.03386961680432967,-0.05631077363440707
A,2020-03-19,A_2020-03-19_34200000_57600000_60_1,35.85,390,-0.17744924500377554,-0.08051334278753505,-0.11497545901097816
A,2020-03-20,A_2020-03-20_34200000_57600000_60_1,35.21,390,0.05038326762049703,0.01324412963532682,0.01734918834061641
A,2020-03-23,A_2020-03-23_34200000_57600000_60_1,31.89,390,0.10772181022592789,0.021018169907093695,-0.05231898599252073
A,2020-03-24,A_2020-03-24_34200000_57600000_60_1,28.19,390,0.007055064504353065,-0.01577456617602447,-0.04832127466308552
A,2020-03-25,A_2020-03-25_34200000_57600000_60_1,31.45,390,0.032608193631223456,-0.002695014809150105,-0.058607585475301205
A,2020-03-26,A_2020-03-26_34200000_57600000_60_1,22.49,390,-0.044523376630198376,-0.09007880728509551,-0.03391649158116665
A,2020-03-27,A_2020-03-27_34200000_57600000_60_1,21.21,390,0.04009017380234899,-0.018219316093283942,-0.0028518286121795044
A,2020-03-30,A_2020-03-30_34200000_57600000_60_1,18.6,390,-0.01530160022446851,-0.03599142053171646,-0.05048088364663716
A,2020-03-31,A_2020-03-31_34200000_57600000_60_1,15.73,390,-0.05240156719263431,-0.0974617250434446,-0.04861363811755264
A,2020-04-01,A_2020-04-01_34200000_57600000_60_1,13.61,390,-0.16881979740736147,-0.06757701084020577,-0.06577987277372889
A,2020-04-02,A_2020-04-02_34200000_57600000_60_1,18.5,390,-0.056107467814891704,-0.12126408467272339,-0.04360317525516732
A,2020-04-03,A_2020-04-03_34200000_57600000_60_1,13.98,390,-0.07704079704716324,-0.001298775260628691,-0.0579443937394399
A,2020-04-06,A_2020-04-06_34200000_57600000_60_1,12.46,390,0.0010197572478847872,0.0019146424016235936,0.022978829012898497
A,2020-04-07,A_2020-04-07_34200000_57600000_60_1,13.7,390,-0.03762022237042372,-0.04975290314382623,-0.017621922258114448
A,2020-04-08,A_2020-04-08_34200000_57600000_60_1,12.62,390,0.01961690441060742,0.020790907730894877,-0.053873643318801935
A,2020-04-09,A_2020-04-09_34200000_57600000_60_1,13.39,390,0.0001899656176586765,0.013340061443172561,-0.01634293621398306
A,2020-04-13,A_2020-04-13_34200000_57600000_60_1,10.77,390,0.012095540039892204,-0.02145218609524925,-0.010720892222511528
A,2020-04-14,A_2020-04-14_34200000_57600000_60_1,14.71,390,-0.12641706083217266,-0.08235803400602185,-0.11746852911046789
A,2020-04-15,A_2020-04-15_34200000_57600000_60_1,9.91,390,-0.07184782748051459,-0.0290524966160559,-0.13714384627961942
A,2020-04-16,A_2020-04-16_34200000_57600000_60_1,9.29,390,-0.06538269745612502,-0.11205145908012519,-0.044561051670766086
A,2020-04-17,A_2020-04-17_34200000_57600000_60_1,8.51,390,-0.03600280355986841,0.04048789979545337,0.028758649314052077
A,2020-04-20,A_2020-04-20_34200000_57600000_60_1,8.33,390,-0.01892462511380171,-0.04738835862623649,-0.03673825018077014
A,2020-04-21,A_2020-04-21_34200000_57600000_60_1,8.76,390,-0.13701427530098553,0.05165866318862402,0.01958902325754311
A,2020-04-22,A_2020-04-22_34200000_57600000_60_1,6.89,390,0.11016262539156559,-0.057003108482015986,0.015340756172934018
A,2020-04-23,A_2020-04-23_34200000_57600000_60_1,9.44,390,-0.03225804255775126,-0.017469399506047104,-0.0094169425543908
A,2020-04-24,A_2020-04-24_34200000_57600000_60_1,6.52,390,0.09991423595875792,0.0011175455132321724,-0.005849591144064702
A,2020-04-27,A_2020-04-27_34200000_57600000_60_1,6.15,390,-0.025384161515532123,-0.09692915541408109,-0.07307866807170962
A,2020-04-28,A_2020-04-28_34200000_57600000_60_1,7.13,390,0.011612230526104647,-0.06378318486896663,-0.1017018304356944
A,2020-04-29,A_2020-04-29_34200000_57600000_60_1,6.25,390,0.016693134463380718,0.01885683171979931,0.0338495416621977
A,2020-04-30,A_2020-04-30_34200000_57600000_60_1,5.92,390,0.038407344297333716,0.02631667533629791,0.05034931702937677
A,2020-05-01,A_2020-05-01_34200000_57600000_60_1,6.74,390,0.05589168264230154,0.04728564255219976,0.01222857294838059
A,2020-05-04,A_2020-05-04_34200000_57600000_60_1,7.15,390,-0.04602491091346407,-0.04013740454030988,-0.04113733335478777
A,2020-05-05,A_2020-05-05_34200000_57600000_60_1,6.23,390,-0.055926974177225974,-0.014514955071166812,0.06350308429433613
A,2020-05-06,A_2020-05-06_34200000_57600000_60_1,6.38,390,-0.06370994902775244,-0.010616665313618073,0.022248189872010108
A,2020-05-07,A_2020-05-07_34200000_57600000_60_1,5.82,390,-0.04371423431677931,0.015969552849488828,0.07461777301673785
A,2020-05-08,A_2020-05-08_34200000_57600000_60_1,4.85,390,0.00048182308571369866,0.04439743581393357,0.025204256761541175
A,2020-05-11,A_2020-05-11_34200000_57600000_60_1,5.23,390,-0.056620026778637665,-0.051670590364113436,-0.0010418130161420518
A,2020-05-12,A_2020-05-12_34200000_57600000_60_1,5.65,390,-0.06646497441800477,-0.04181939702705125,-0.0026559957280223377
A,2020-05-13,A_2020-05-13_34200000_57600000_60_1,6.03,390,0.0009951723129295509,-0.01657163956283131,0.04096425590047781
A,2020-05-14,A_2020-05-14_34200000_57600000_60_1,6.41,390,0.0017933721019098593,0.02519049096927665,-0.06653916024196509
A,2020-05-15,A_2020-05-15_34200000_57600000_60_1,5.27,390,-0.03284049610340967,-0.02424550108192132,-0.01748214741251536
A,2020-05-18,A_2020-05-18_34200000_57600000_60_1,4.43,390,0.04853965772007386,0.010502334918012649,0.04980849695220089
A,2020-05-19,A_2020-05-19_34200000_57600000_60_1,4.79,390,-0.040355991108552154,-0.04768090829189923,0.005920929183527941
A,2020-05-20,A_2020-05-20_34200000_57600000_60_1,4.22,390,-0.06662145091580148,-0.06807352510774442,-0.020249444909225995
A,2020-05-21,A_2020-05-21_34200000_57600000_60_1,6.02,390,0.029256223709188383,-0.02683405139328888,-0.008962485276934426
A,2020-05-22,A_2020-05-22_34200000_57600000_60_1,4.89,390,-0.006327719084034176,-0.0029633666687162155,0.04182038076259077
A,2020-05-26,A_2020-05-26_34200000_57600000_60_1,4.66,390,-0.08080698930974414,0.022460776845974213,0.01379824437664834
A,2020-05-27,A_2020-05-27_34200000_57600000_60_1,6.74,390,0.018064813045695263,0.02511612737411412,-0.024791346983581472
A,2020-05-28,A_2020-05-28_34200000_57600000_60_1,5.17,390,0.04787693390793016,0.005855522737766035,-0.030579998456809573
A,2020-05-29,A_2020-05-29_34200000_57600000_60_1,6.22,390,-0.08311916291884525,-0.013509500269695447,-0.02167716404922764
A,2020-06-01,A_2020-06-01_34200000_57600000_60_1,4.5,390,-0.011228747205520214,0.03808733326851859,0.05601349418058803
A,2020-06-02,A_2020-06-02_34200000_57600000_60_1,3.86,390,0.03268853483079801,0.026729001399205428,0.04530158890972758
A,2020-06-03,A_2020-06-03_34200000_57600000_60_1,4.33,390,0.027768850218538893,0.1197142431592133,0.0722678643945799
A,2020-06-04,A_2020-06-04_34200000_57600000_60_1,9.77,89,-0.027646279480782944,0.007827887904816136,-0.03138910585185841
A,2020-06-05,A_2020-06-05_34200000_57600000_60_1,5.78,390,-0.055286551307627683,-0.012549181734867269,-0.005022887297877403
A,2020-06-08,A_2020-06-08_34200000_57600000_60_1,4.66,390,-0.03741072145073153,-0.028000514422427094,0.009122013409947555
A,2020-06-09,A_2020-06-09_34200000_57600000_60_1,4.57,390,0.04875520323986792,0.07083515221657885,0.03697917780022109
A,2020-06-10,A_2020-06-10_34200000_57600000_60_1,6.91,390,0.03509687673256697,0.03553796758438445,0.06415417959587966
A,2020-06-11,A_2020-06-11_34200000_57600000_60_1,6.93,390,-0.014189080064354728,-0.048452840661706305,-0.15446139401158573
A,2020-06-12,A_2020-06-12_34200000_57600000_60_1,9.2,390,0.08378917006438745,0.013067601647806775,0.12456442483424182
A,2020-06-15,A_2020-06-15_34200000_57600000_60_1,8.08,390,0.06906354423072648,-0.03492298119729645,0.015084101308997448
A,2020-06-16,A_2020-06-16_34200000_57600000_60_1,7.88,390,0.007121355310706459,-0.031800759393042624,-0.03811634888251146
A,2020-06-17,A_2020-06-17_34200000_57600000_60_1,5.5,390,0.13790959260737387,0.035559427778528094,0.0018171998572915943
A,2020-06-18,A_2020-06-18_34200000_57600000_60_1,5.41,390,0.03216567666470011,0.04868588291780379,0.004314078511691454
A,2020-06-19,A_2020-06-19_34200000_57600000_60_1,5.74,390,0.12514785814309912,-0.04698807447565313,-0.026386327812124362
A,2020-06-22,A_2020-06-22_34200000_57600000_60_1,4.7,390,0.07569575517925067,0.03095300971210342,-0.009559989593581699
A,2020-06-23,A_2020-06-23_34200000_57600000_60_1,5.22,390,0.002010717539455586,-0.007051435835268967,-0.007777150278355423
A,2020-06-24,A_2020-06-24_34200000_57600000_60_1,5.97,390,0.14851325843281996,0.044641499951212395,-0.032055894906799484
