notebook,cell_id,stock,scorer,horizon,n,ic,ci_lo,ci_hi,p,p_adj,reject_fdr
4,cmp_AAPL_LM_1m,AAPL,LM,1.0,507.0,-0.0426111351732463,-0.1305218911740998,0.0416012771732858,0.826,0.9166728971962617,False
4,oos_LM_5m,pooled_2025,LM,5.0,2462.0,-0.0213682237382772,-0.0615866692958571,0.0160998662728302,0.866,0.9166728971962617,False
1,uncond_2016-2020_OFI_5m,pooled,OFI,5.0,12342.0,-0.0097090282986181,-0.0277923804112105,0.0070858349216506,0.868,0.9166728971962617,False
1,uncond_2016-2020_LM_5m,pooled,LM,5.0,12342.0,-0.0094475156218391,-0.0261952292203167,0.0092894890832699,0.843,0.9166728971962617,False
2,split_conflicted_5m,pooled,ofi_x_llm,5.0,5632.0,-0.0141397384463101,-0.038231105520638,0.0129223206537154,0.847,0.9166728971962617,False
2,split_confirmed_15m,pooled,ofi_x_llm,15.0,5675.0,-0.01562164876682,-0.0413308401421862,0.0103114971492219,0.89,0.9312037037037038,False
4,cmp_AAPL_OFI×LM_15m,AAPL,OFI×LM,15.0,498.0,-0.0674638558176477,-0.1583847035546434,0.0319821312789732,0.92,0.9537614678899083,False
1,uncond_2016-2020_OFI_15m,pooled,OFI,15.0,12115.0,-0.013678947520757,-0.0307258065437551,0.0032068886400945,0.934,0.9594727272727273,False
4,cmp_AAPL_LLM_15m,AAPL,LLM,15.0,498.0,-0.0785895158396547,-0.1620362998674089,0.0141602958592973,0.948,0.965081081081081,False
4,cmp_META_LM_1m,META,LM,1.0,442.0,-0.0906626489563507,-0.1818870304437681,0.008637830415878,0.963,0.9715982142857144,False
4,cmp_TSLA_OFI×LM_15m,TSLA,OFI×LM,15.0,382.0,-0.1156126591099935,-0.2073183360091764,-0.0239832435289321,0.991,0.991,False
